BBL,Boro,Block ,Lot,PHN,Street,Owner Name,Bldg ID,BIN,Units,Housing Type,Tax Class,Program,HPD AM Oversight,Comments,Community District,City Council District,Assembly District,State Senatorial District,Congressional District,ZIP Code,Census Tract
3037040029,3,3704,29,236,NEW JERSEY AVENUE,236-8 New Jersey Avenue HDFC,342330,3083672,16,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,305,37,55,18,8,11207,1144
3018340074,3,1834,74,237,HANCOCK STREET,237-39 Hankock Street HDFC,306886,3052408,10,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,303,36,56,25,8,11216,267
3034660020,3,3466,20,24,FURMAN AVENUE,24 Furman Avenue HDFC,298561,3080412,53,RENTAL,2,Community Management Program (CMP),,,304,37,55,18,8,11207,405
3003950013,3,395,13,24,ST MARKS PLACE,24 Saint Marks Place HDFC,375139,3006260,3,COOP,1,Tenant Interim Lease (TIL),Mark Matthews,,302,33,52,25,7,11217,127
3024210038,3,2421,38,241,SOUTH 3 STREET,241 South 3 Street HDFC,372126,3063186,22,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,301,34,53,18,7,11211,523
3052110044,3,5211,44,2416,NEWKIRK AVENUE,2416 Newkirk Avenue HDFC,344328,3120351,53,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,317,45,42,21,9,11226,790
3024200015,3,2420,15,242,SOUTH 2 STREET,242 South  2 Street HDFC,371994,3063150,35,COOP,2,Community Management Program (CMP),Ron Sinacori,,301,34,53,18,7,11211,523
3033840006,3,3384,6,463,WILSON AVENUE,246 Cornelia Street HDFC,396938,3077626,39,COOP,2,Community Management Program (CMP),Mark Matthews,,304,37,54,18,7,11221,435
3050720053,3,5072,53,25,STRATFORD ROAD,25 Stratford Road HDFC,242117,3116386,21,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,314,40,42,21,9,11218,506
3032780036,3,3278,36,251,HARMAN STREET,251 Harman Street HDFC,307978,3074789,6,RENTAL,2,Community Management Program (CMP),,,304,37,53,18,7,11237,431
3022340010,3,2234,10,252,HEYWARD STREET,252 Heyward Street HDFC,312203,3061217,4,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,301,33,50,26,7,11206,509
3024470010,3,2447,10,256,SOUTH 4 STREET,256 SOUTH 4TH ST HDFC,372277,3063468,34,COOP,2,Article 8A Loan,,,301,34,53,18,7,11211,525
3023220022,3,2322,22,26,HAVEMEYER STREET,26 Havmeyer Street HDFC,309155,3061996,11,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,301,33,50,18,12,11211,519
3031890021,3,3189,21,26,ST NICHOLAS AVENUE,26 ST NICHOLAS AVENUE HOUSING DEVELOPMENT,375314,3072617,6,COOP,2,Article 8A Loan,,,304,34,53,18,7,11237,447
3029160047,3,2916,47,263,DEVOE STREET,263 Devoe Street HDFC,232930,3070347,6,COOP,2,Community Management Program (CMP),Graham Smokoski,,301,34,53,18,12,11211,481
3024090032,3,2409,32,263,SOUTH 2 STREET,263 South 2 Street HDFC,372004,3063029,9,COOP,2,Community Management Program (CMP),Ron Sinacori,,301,34,53,18,7,11211,523
3022640005,3,2264,5,265,LEE AVENUE,265 Lee Avenue HDFC,323333,3061411,6,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,301,33,50,26,7,11206,531
3029200037,3,2920,37,265,POWERS STREET,265 Powers Street HDFC,355010,3070427,6,COOP,2,Community Management Program (CMP),Graham Smokoski,,301,34,53,18,12,11211,481
