time	latitude	longitude	depth	mag	magType	nst	gap	dmin	rms	net	id	updated	place	type
2010-05-19T10:51:03.080Z	-54.843	-135.398	10	6	mwc	97	37.9		1.44	pde	pde20100519105103080_10	2013-03-16T01:49:36.753Z	Pacific-Antarctic Ridge	earthquake
2010-05-19T10:30:10.400Z	-54.8	-135.252	10	6	mwc	90	35.2		1.28	pde	pde20100519103010400_10	2013-03-16T01:49:36.690Z	Pacific-Antarctic Ridge	earthquake
2010-05-19T04:15:43.230Z	-5.083	-77.541	132	6	mwb	502	16.5		0.75	pde	pde20100519041543230_132	2013-03-16T01:49:36.551Z	northern Peru	earthquake
2010-04-24T07:41:00.410Z	-1.912	128.122	27	6	mwc	244	47.4		1.01	pde	pde20100424074100410_27	2013-11-05T04:28:05.358Z	Kepulauan Obi, Indonesia	earthquake
2010-04-23T10:03:06.180Z	-37.529	-72.969	32	6	mwc	237	36		0.86	pde	pde20100423100306180_32	2013-11-05T04:27:07.464Z	Bio-Bio, Chile	earthquake
2010-04-10T16:54:24.250Z	-20.114	-176.223	273.2	6	mwb	354	21.9		0.75	pde	pde20100410165424250_273	2013-03-16T01:49:19.258Z	Fiji region	earthquake
2010-04-07T14:33:01.930Z	-3.76	141.943	23	6	mwc	231	33		1.01	pde	pde20100407143301930_23	2013-11-05T04:15:31.158Z	New Guinea, Papua New Guinea	earthquake
2010-04-02T22:58:07.560Z	-36.227	-72.878	24	6	mwc	353	34.2		0.81	pde	pde20100402225807560_24	2013-11-05T04:11:36.429Z	offshore Bio-Bio, Chile	earthquake
2010-03-28T21:38:28.000Z	-35.387	-73.385	29.9	6	mwb	259	53			pde	pde20100328213828000_29	2013-03-16T01:49:09.672Z	offshore Maule, Chile	earthquake
2010-03-25T05:29:24.720Z	13.827	120.071	16	6	mwc	260	20.6		0.88	pde	pde20100325052924720_16	2013-11-05T04:06:39.442Z	Mindoro, Philippines	earthquake
2010-03-11T15:06:02.130Z	-34.47	-72.004	31.5	6	mb	316	34.2		1.04	pde	pde20100311150602130_31	2013-11-05T03:51:23.683Z	Libertador General Bernardo O'Higgins, Chile	earthquake
2010-03-04T01:59:48.670Z	-33.216	-72.125	24.2	6	mwc	302	76.7		0.86	pde	pde20100304015948670_24	2013-11-05T03:35:08.323Z	offshore Valparaiso, Chile	earthquake
